Block Address with Zip,Crime Count,SafetyScore,ZipCode,block,street
"0 BLOCK  13TH ST, 02129",3,84.40643863179075,02129,0,13TH ST
"0 BLOCK  3RD AVE, 02129",3,84.40643863179075,02129,0,3RD AVE
"0 BLOCK  A ST, 02127",21,32.14285714285714,02127,0,A ST
"0 BLOCK  A ST, 02136",6,64.738430583501,02136,0,A ST
"0 BLOCK  ABBOT ST, 02124",72,8.115358819584173,02124,0,ABBOT ST
"0 BLOCK  ABBOTSFORD ST, 02121",52,12.826961770623749,02121,0,ABBOTSFORD ST
"0 BLOCK  ABBY RD, 02135",4,75.85513078470825,02135,0,ABBY RD
"0 BLOCK  ABERDEEN ST, 02215",11,48.52448021462106,02215,0,ABERDEEN ST
"0 BLOCK  ACADEMY CT, 02119",8,56.87458081824279,02119,0,ACADEMY CT
"0 BLOCK  ACADEMY HILL RD, 02135",19,34.607645875251514,02135,0,ACADEMY HILL RD
"0 BLOCK  ACADEMY TER, 02119",5,70.03688799463448,02119,0,ACADEMY TER
"0 BLOCK  ACKLEY PL, 02130",2,100.0,02130,0,ACKLEY PL
"0 BLOCK  ADAIR RD, 02135",4,75.85513078470825,02135,0,ADAIR RD
"0 BLOCK  ADAMS ST, 02119",35,20.35546613011402,02119,0,ADAMS ST
"0 BLOCK  ADAMS ST, 02122",77,7.344064386317905,02122,0,ADAMS ST
"0 BLOCK  ADAMS ST, 02129",4,75.85513078470825,02129,0,ADAMS ST
"0 BLOCK  ADAMS ST, 02186",3,84.40643863179075,02186,0,ADAMS ST
"0 BLOCK  ADAMSON ST, 02134",28,25.16767270288397,02134,0,ADAMSON ST
"0 BLOCK  ADDINGTON RD, 02132",2,100.0,02132,0,ADDINGTON RD
"0 BLOCK  ADDISON ST, 02128",8,56.87458081824279,02128,0,ADDISON ST
"0 BLOCK  ADELAIDE ST, 02130",11,48.52448021462106,02130,0,ADELAIDE ST
"0 BLOCK  ADELAIDE TER, 02130",4,75.85513078470825,02130,0,ADELAIDE TER
"0 BLOCK  ADELLA PL, 02134",2,100.0,02134,0,ADELLA PL
"0 BLOCK  AGAWAM ST, 02122",6,64.738430583501,02122,0,AGAWAM ST
"0 BLOCK  AGUADILLA ST, 02118",31,22.98792756539235,02118,0,AGUADILLA ST
"0 BLOCK  AINSLEY ST, 02122",4,75.85513078470825,02122,0,AINSLEY ST
"0 BLOCK  AINSWORTH ST, 02131",4,75.85513078470825,02131,0,AINSWORTH ST
